dataset,case_id,knn_k1,knn_k5,knn_k10
totalseg,s0000,0.010935167782008648,0.011968381702899933,0.012371006421744823
totalseg,s0001,0.012707930989563465,0.01485842652618885,0.015287630259990692
totalseg,s0004,0.011708993464708328,0.012212110683321953,0.013309825211763382
totalseg,s0006,0.017704742029309273,0.019192993640899658,0.020454538986086845
totalseg,s0010,0.00833860319107771,0.009630328975617886,0.010455848649144173
totalseg,s0011,0.005870130378752947,0.007619768846780062,0.008489326573908329
totalseg,s0012,0.017220767214894295,0.0190139040350914,0.019681110978126526
totalseg,s0013,0.016058385372161865,0.01705021597445011,0.018129706382751465
totalseg,s0014,0.007669935002923012,0.008542109280824661,0.009460444562137127
totalseg,s0015,0.007837074808776379,0.008996369317173958,0.010012960061430931
totalseg,s0016,0.011038865894079208,0.012006056495010853,0.012846735306084156
totalseg,s0022,0.009566497057676315,0.010626253671944141,0.011812723241746426
totalseg,s0028,0.00842643715441227,0.009216285310685635,0.009639298543334007
totalseg,s0029,0.007058883085846901,0.008028092794120312,0.009330819360911846
totalseg,s0030,0.008021214045584202,0.009627161547541618,0.010695239529013634
totalseg,s0031,0.008664625696837902,0.009854467585682869,0.010469058528542519
totalseg,s0034,0.008964868262410164,0.009447501040995121,0.010612455196678638
totalseg,s0038,0.009416086599230766,0.010722557082772255,0.011880679987370968
totalseg,s0039,0.022862957790493965,0.024018241092562675,0.025486299768090248
totalseg,s0040,0.007315807044506073,0.00848001055419445,0.009256329387426376
totalseg,s0042,0.010418879799544811,0.010828371159732342,0.01139919739216566
totalseg,s0045,0.015313239768147469,0.016753653064370155,0.018306652083992958
totalseg,s0048,0.018710527569055557,0.019852301105856895,0.020507171750068665
totalseg,s0052,0.012261292897164822,0.013493823818862438,0.014373323880136013
totalseg,s0053,0.007841126061975956,0.009140719659626484,0.009854557923972607
totalseg,s0054,0.007892273366451263,0.009804235771298409,0.010597402229905128
totalseg,s0058,0.010064334608614445,0.01150683406740427,0.012350978329777718
totalseg,s0059,0.009850054048001766,0.010738528333604336,0.011289261281490326
totalseg,s0062,0.010918539017438889,0.011457308195531368,0.01187827717512846
