dataset,case_id,knn_k1,knn_k5,knn_k10
amos,amos_0001,0.011343580670654774,0.0136954290792346,0.01585097424685955
amos,amos_0004,0.006251039449125528,0.009052901528775692,0.009395168162882328
amos,amos_0005,0.011155225336551666,0.015665870159864426,0.01730331778526306
amos,amos_0006,0.00889943540096283,0.00971264112740755,0.011539901606738567
amos,amos_0007,0.009971300140023232,0.011328388936817646,0.012230639345943928
amos,amos_0008,0.01116408221423626,0.01495417021214962,0.016096774488687515
amos,amos_0009,0.008769244886934757,0.010520794428884983,0.011024157516658306
amos,amos_0010,0.007159513421356678,0.008865004405379295,0.009372783824801445
amos,amos_0011,0.00687814736738801,0.008464204147458076,0.008808441460132599
amos,amos_0013,0.00606135930866003,0.00856870599091053,0.009009652771055698
amos,amos_0014,0.007684560492634773,0.010196706280112267,0.011242147535085678
amos,amos_0015,0.01168343797326088,0.017812669277191162,0.019357645884156227
amos,amos_0016,0.009372004307806492,0.010478914715349674,0.012371396645903587
amos,amos_0017,0.007508173584938049,0.009579991921782494,0.010134303011000156
amos,amos_0018,0.008287263102829456,0.009777599014341831,0.011348198167979717
amos,amos_0019,0.0072699435986578465,0.00933048315346241,0.011009186506271362
amos,amos_0021,0.0070048123598098755,0.00890522450208664,0.009952589869499207
amos,amos_0022,0.011139052920043468,0.013004759326577187,0.015289661474525928
amos,amos_0023,0.0073346965946257114,0.008829163387417793,0.009576982818543911
amos,amos_0024,0.008123103529214859,0.009663236327469349,0.010407072491943836
amos,amos_0025,0.008325668051838875,0.009984619915485382,0.010261530987918377
amos,amos_0027,0.00738734332844615,0.010251680389046669,0.011421695351600647
amos,amos_0029,0.007698921952396631,0.010622644796967506,0.011581826955080032
amos,amos_0030,0.007782009430229664,0.008522877469658852,0.010142885148525238
amos,amos_0032,0.008148280903697014,0.009481257759034634,0.011625932529568672
amos,amos_0033,0.0067496648989617825,0.008276772685348988,0.009186794981360435
amos,amos_0034,0.008235644549131393,0.010050014592707157,0.011422071605920792
amos,amos_0035,0.008673089556396008,0.01480960939079523,0.01599462702870369
amos,amos_0036,0.00760316289961338,0.007786354515701532,0.009604822844266891
amos,amos_0038,0.008236182853579521,0.008387136273086071,0.00929761677980423
amos,amos_0040,0.010554002597928047,0.011136116459965706,0.012673734687268734
amos,amos_0041,0.0068871877156198025,0.009099265560507774,0.00936172716319561
amos,amos_0042,0.0070743742398917675,0.008509159088134766,0.009260310791432858
amos,amos_0043,0.007655004505068064,0.009988847188651562,0.010638796724379063
amos,amos_0044,0.008970385417342186,0.009552801959216595,0.010545767843723297
amos,amos_0045,0.01377593819051981,0.019997164607048035,0.02134968340396881
amos,amos_0047,0.01176528725773096,0.01636492647230625,0.017344169318675995
amos,amos_0048,0.009928904473781586,0.012417791411280632,0.013819575309753418
amos,amos_0049,0.010763841681182384,0.011538363061845303,0.01278398372232914
amos,amos_0050,0.011195601895451546,0.014120984822511673,0.015374096110463142
amos,amos_0051,0.01000077836215496,0.011943171732127666,0.012498334050178528
amos,amos_0052,0.011625378392636776,0.01667347364127636,0.01782403327524662
amos,amos_0054,0.0097007155418396,0.010924188420176506,0.012791397981345654
amos,amos_0056,0.008937966078519821,0.01166258193552494,0.013365781866014004
amos,amos_0057,0.015872756019234657,0.02248283103108406,0.02430260367691517
amos,amos_0058,0.01040687970817089,0.013823348097503185,0.014936181716620922
amos,amos_0059,0.009215314872562885,0.010043816640973091,0.011246595531702042
amos,amos_0060,0.012422491796314716,0.01315442193299532,0.01398223266005516
amos,amos_0061,0.00632657902315259,0.007718756329268217,0.008741028606891632
amos,amos_0063,0.008978326804935932,0.00947768148034811,0.010383482091128826
amos,amos_0064,0.006313638295978308,0.007540159393101931,0.008961716666817665
amos,amos_0066,0.008111918345093727,0.01022285595536232,0.011268178932368755
amos,amos_0067,0.007368525490164757,0.009455735795199871,0.00990581139922142
