case_id,dice_cls1,dice_cls2,dice_cls3,dice_cls4,dice_cls5,dice_cls6,dice_cls7,dice_cls8,dice_cls9,dice_cls10,dice_cls11,dice_cls12,dice_cls13,dice_cls14,dice_cls15,dice_cls16,dice_cls17,dice_cls18,dice_cls19,dice_cls20,dice_cls21,dice_cls22,dice_cls23
subject087,0.907543,0.627962,0.519688,0.798019,0.666460,0.888965,0.710728,0.754443,0.888198,0.677073,0.590264,0.471778,0.723908,0.663583,0.690691,0.668342,0.903794,0.897700,0.867611,0.738486,0.712294,0.754568,0.717976
subject088,0.913429,0.840359,0.538677,0.818043,0.706746,0.729380,0.817426,0.791270,0.889385,0.514653,0.789365,0.768339,0.709830,0.834986,0.728762,0.753063,0.931755,0.886318,0.902653,0.712813,0.707125,0.583997,0.506831
subject089,0.937351,0.695136,0.821339,0.753943,0.795706,0.751633,0.855458,0.891200,0.942644,0.843661,0.620173,0.837874,0.685969,0.763070,0.617138,0.807445,0.912464,0.913764,0.881424,0.846430,0.706800,0.436666,0.474893
subject090,0.931251,0.843043,0.784820,0.874287,0.823075,0.894048,0.787258,0.834994,0.945229,0.824483,0.422953,0.703054,0.707385,0.698329,0.700248,0.681890,0.860085,0.790010,0.657102,0.560715,0.471245,0.637393,0.729707
subject091,0.948092,0.901724,0.760684,0.818508,0.813132,0.844170,0.813758,0.833245,0.933702,0.789722,0.293990,0.853387,0.862343,0.719054,0.721635,0.524558,0.900841,0.788698,0.840798,0.677934,0.692338,0.722145,0.752664
subject092,0.676664,0.786769,0.743124,0.629500,0.709957,0.780262,0.598994,0.785594,0.849670,0.872426,0.697427,0.710499,0.843280,0.702915,0.429440,0.505703,0.902287,0.825317,0.871637,0.847212,0.392344,0.467285,0.423881
subject093,0.905371,0.812267,0.628804,0.842796,0.636071,0.821053,0.629900,0.784872,0.925256,0.827371,0.775928,0.692888,0.799469,0.738601,0.802475,0.456597,0.930663,0.879899,0.891693,0.786869,0.707806,0.647989,0.643922
subject094,0.951745,0.853727,0.760624,0.832498,0.859058,0.830603,0.901844,0.889981,0.911687,0.671770,0.776906,0.700584,0.645480,0.803030,0.767337,0.803364,0.932208,0.825601,0.853877,0.745681,0.633438,0.522670,0.543413
subject095,0.909632,0.254596,0.174458,0.780559,0.352717,0.877599,0.607109,0.798310,0.875538,0.593328,0.779331,0.368242,0.773768,0.330396,0.793822,0.615385,0.902312,0.867706,0.798876,0.885651,0.836717,0.696984,0.699012
subject096,0.901908,0.780445,0.750752,0.838127,0.734835,0.883269,0.588973,0.723394,0.913350,0.709306,0.462451,0.859121,0.832444,0.843016,0.798276,0.516882,0.908751,0.880972,0.803659,0.858041,0.718691,0.758986,0.759580
subject097,0.916707,0.870431,0.759432,0.728720,0.675530,0.690555,0.842032,0.767077,0.910470,0.860569,0.825620,0.741420,0.788603,0.533401,0.783548,0.690076,0.947624,0.844141,0.877695,0.789016,0.639432,0.841146,0.797981
subject098,0.855473,0.874396,0.652405,0.808886,0.747427,0.836103,0.591684,0.752718,0.899054,0.826931,0.824116,0.694933,0.724759,0.851704,0.779192,0.747440,0.927776,0.784884,0.835169,0.677898,0.830902,0.565577,0.598406
subject099,0.892443,0.747873,0.555526,0.844270,0.789523,0.910619,0.754243,0.769731,0.865892,0.374869,0.831169,0.484821,0.873836,0.435589,0.818299,0.808174,0.854093,0.467403,0.475145,0.194624,0.588978,0.419610,0.492726
subject100,0.848908,0.729701,0.532122,0.863805,0.483596,0.787491,0.460892,0.825626,0.933452,0.661974,0.768686,0.768330,0.878772,0.613307,0.731559,0.787746,0.937102,0.892062,0.849925,0.772443,0.779200,0.643613,0.790013
subject101,0.815840,0.865716,0.459376,0.853790,0.657253,0.659836,0.745030,0.873361,0.927545,0.581090,0.537406,0.740207,0.771233,0.419482,0.676105,0.740627,0.870653,0.932317,0.813342,0.799463,0.778011,0.599351,0.571082
