case_id,pairwise_dice_mean,pairwise_dice_median,pairwise_dice_min,pairwise_dice_max,n_pairs,n_classes,ground_truth_dice,mahalanobis
amos_0103,0.147538,0.144014,0.000000,0.836191,190,23,0.491880,89.6036
amos_0104,0.326185,0.322974,0.212585,0.475661,190,23,0.820304,64.1179
amos_0105,0.303921,0.302241,0.118926,0.524128,190,23,0.586918,65.5499
amos_0106,0.253300,0.251066,0.001371,0.544065,190,23,0.423449,73.2980
amos_0108,0.836880,0.838451,0.770010,0.889756,190,23,0.845459,95.5885
amos_0109,0.016379,0.000000,0.000000,0.355042,190,23,0.052486,80.9670
amos_0110,0.863995,0.864899,0.818097,0.898114,190,23,0.857467,62.2713
amos_0111,0.591469,0.595285,0.464925,0.707560,190,23,0.648350,72.8963
amos_0112,0.121904,0.106570,0.004720,0.502526,190,23,0.617608,69.1431
amos_0113,0.208104,0.195757,0.053620,0.416723,190,23,0.578829,84.3457
amos_0115,0.241298,0.228051,0.106227,0.528616,190,23,0.637591,133.2569
amos_0116,0.772838,0.770370,0.663426,0.872657,190,23,0.857844,37.6109
amos_0117,0.872585,0.873973,0.829149,0.909078,190,23,0.886366,109.7971
amos_0118,0.325437,0.319545,0.187082,0.571891,190,23,0.668956,54.4671
amos_0119,0.903376,0.903360,0.867524,0.929920,190,23,0.844128,66.4776
amos_0120,0.259428,0.248215,0.095688,0.672613,190,23,0.581995,114.7195
amos_0121,0.864762,0.867160,0.812971,0.894825,190,23,0.868734,53.0941
amos_0123,0.856919,0.855705,0.811460,0.896279,190,23,0.766352,97.3773
amos_0124,0.908356,0.909643,0.880558,0.933776,190,23,0.866047,54.5914
amos_0125,0.145828,0.134175,0.032613,0.365047,190,23,0.359112,114.3330
amos_0126,0.821981,0.824001,0.745961,0.871539,190,23,0.874804,91.2098
amos_0127,0.041585,0.000298,0.000000,0.393245,190,23,0.170163,86.3029
amos_0128,0.300379,0.294087,0.110886,0.689220,190,23,0.464447,115.3050
amos_0129,0.897325,0.898111,0.861830,0.922668,190,23,0.884529,75.8717
amos_0131,0.205700,0.198938,0.046939,0.541062,190,23,0.737177,70.9538
amos_0132,0.864807,0.863805,0.816728,0.902338,190,23,0.874495,70.6462
amos_0133,0.004301,0.000000,0.000000,0.203152,190,23,0.000000,157.8137
amos_0134,0.905053,0.904812,0.874438,0.938875,190,23,0.869863,72.7376
amos_0135,0.847165,0.847463,0.810515,0.891554,190,23,0.850670,44.8079
amos_0136,0.849466,0.850235,0.798961,0.894777,190,23,0.830092,65.2034
amos_0137,0.913944,0.914340,0.877674,0.940676,190,23,0.871278,65.5191
amos_0138,0.221668,0.201775,0.123712,0.559460,190,23,0.109262,90.4951
amos_0140,0.155099,0.136261,0.000000,0.668003,190,23,0.326187,70.9589
amos_0141,0.341566,0.331357,0.168487,0.633303,190,23,0.684326,68.5711
amos_0142,0.462476,0.459690,0.324344,0.589756,190,23,0.746428,70.8460
amos_0143,0.783794,0.786847,0.680521,0.896518,190,20,0.895083,102.7974
amos_0144,0.902239,0.906039,0.847894,0.931827,190,23,0.894682,35.4409
amos_0147,0.189943,0.180084,0.057326,0.517612,190,23,0.759369,108.8023
amos_0149,0.279939,0.255076,0.145708,0.803139,190,22,0.601562,79.6354
amos_0150,0.321465,0.317355,0.194436,0.483076,190,23,0.704073,87.3958
amos_0152,0.475661,0.471571,0.304924,0.634378,190,23,0.636619,70.8388
amos_0153,0.813158,0.813878,0.753059,0.876612,190,23,0.794016,74.3418
amos_0154,0.846229,0.846923,0.754914,0.918029,190,23,0.803739,64.7312
amos_0155,0.853229,0.854283,0.800080,0.909632,190,23,0.889523,63.7855
amos_0156,0.071773,0.017563,0.000000,0.714998,190,23,0.301574,110.7456
amos_0157,0.774527,0.772249,0.676980,0.889791,190,23,0.770608,49.2523
amos_0158,0.601228,0.602777,0.446542,0.795069,190,23,0.813633,77.4480
amos_0159,0.878284,0.877781,0.840650,0.910612,190,23,0.870582,83.9023
amos_0160,0.007054,0.000000,0.000000,0.181818,190,23,0.076574,96.4578
amos_0161,0.843886,0.843886,0.790549,0.891801,190,23,0.817339,74.1245
amos_0162,0.388366,0.384988,0.223205,0.629396,190,23,0.741020,92.2620
amos_0166,0.100012,0.087809,0.000000,0.444791,190,22,0.269679,98.7087
amos_0167,0.296930,0.285861,0.009526,0.808443,190,22,0.514363,83.1671
amos_0170,0.866197,0.867152,0.821745,0.906965,190,23,0.877237,43.5536
amos_0171,0.205586,0.201044,0.019294,0.462395,190,23,0.345007,50.8621
amos_0172,0.180647,0.168950,0.050537,0.384879,190,23,0.292725,72.7968
amos_0173,0.042621,0.006623,0.000000,0.442238,190,23,0.047392,67.8545
amos_0174,0.772975,0.772149,0.704668,0.854657,190,23,0.839992,64.4697
amos_0175,0.852296,0.853543,0.790846,0.907042,190,23,0.880800,80.4333
amos_0176,0.865532,0.866073,0.821042,0.900746,190,23,0.830310,71.3224
amos_0177,0.889006,0.893563,0.819639,0.923378,190,23,0.848739,50.7118
amos_0179,0.909694,0.909065,0.881511,0.929005,190,23,0.852168,41.0746
amos_0180,0.230078,0.198859,0.078138,0.869775,190,23,0.508192,89.8000
amos_0181,0.885712,0.888989,0.837064,0.918685,190,23,0.855588,60.4666
amos_0184,0.869708,0.889404,0.750253,0.928353,190,23,0.769861,49.2763
amos_0185,0.791234,0.796769,0.708865,0.862669,190,23,0.871202,75.3549
amos_0186,0.170058,0.155339,0.082171,0.523760,190,22,0.434645,150.9862
amos_0188,0.829650,0.829653,0.771892,0.881795,190,23,0.874267,68.9954
amos_0189,0.564732,0.563377,0.403265,0.724555,190,23,0.796357,147.9379
amos_0190,0.896575,0.896737,0.856519,0.919745,190,23,0.872172,68.6176
amos_0191,0.082923,0.070476,0.000000,0.374948,190,23,0.164315,124.7600
amos_0192,0.727438,0.728722,0.625982,0.828911,190,23,0.842374,95.9456
amos_0193,0.770475,0.769112,0.703237,0.854009,190,23,0.876660,48.5467
amos_0194,0.020854,0.000000,0.000000,0.291667,190,23,0.122316,109.2604
