case_id,our_aorta_ml,ts_aorta_ml,diff_aorta_ml,our_r_iliac_ml,ts_r_iliac_ml,diff_r_iliac_ml,our_l_iliac_ml,ts_l_iliac_ml,diff_l_iliac_ml
s0638,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
s0639,250.337,249.328,1.009,32.150,18.205,13.945,21.536,17.513,4.023
s0644,224.795,214.819,9.977,24.027,13.726,10.300,33.156,19.416,13.740
s0646,7.584,3.186,4.398,11.708,17.601,-5.893,10.652,16.224,-5.572
s0648,318.360,322.093,-3.733,24.519,16.777,7.742,19.329,17.925,1.404
s0649,208.045,203.691,4.354,36.524,16.173,20.351,33.254,17.057,16.197
s0650,305.660,323.092,-17.432,21.357,21.053,0.304,37.419,21.235,16.183
s0652,317.534,304.013,13.520,0.000,0.000,0.000,0.000,0.000,0.000
s0656,222.068,233.641,-11.573,21.421,19.258,2.163,27.810,19.909,7.901
s0657,220.752,229.773,-9.021,36.069,23.720,12.349,27.290,26.683,0.608
s0661,190.873,184.646,6.227,27.540,18.654,8.886,18.947,19.116,-0.169
s0662,269.933,273.743,-3.810,15.650,14.114,1.536,17.820,14.435,3.385
s0663,209.368,208.626,0.743,18.947,11.387,7.560,17.530,10.297,7.233
s0667,337.692,347.244,-9.551,65.056,30.652,34.405,41.691,27.837,13.854
s0669,446.168,462.547,-16.379,21.148,16.335,4.813,18.657,14.661,3.996
s0670,248.981,247.992,0.989,21.317,13.804,7.513,31.536,16.244,15.292
s0673,10.054,1.688,8.367,2.781,15.525,-12.744,0.071,11.664,-11.593
s0675,99.751,222.969,-123.218,0.000,0.000,0.000,0.000,0.000,0.000
s0680,237.036,245.629,-8.593,16.156,14.357,1.799,19.673,14.094,5.579
s0685,82.995,67.260,15.734,20.230,15.748,4.482,18.438,15.025,3.412
s0686,423.357,410.410,12.947,30.611,22.093,8.518,26.905,21.489,5.417
s0687,291.377,309.339,-17.962,28.681,17.283,11.397,18.681,17.378,1.303
s0690,212.848,207.023,5.825,42.363,16.608,25.755,3.939,17.503,-13.564
s0691,258.761,282.143,-23.382,0.081,0.000,0.081,0.064,0.000,0.064
s0692,889.890,920.957,-31.067,60.723,53.318,7.405,63.838,41.637,22.201
s0697,293.719,328.560,-34.840,0.000,0.000,0.000,0.000,0.000,0.000
s0699,95.789,78.037,17.752,25.927,15.545,10.381,22.184,12.930,9.254
s0703,343.130,338.880,4.249,33.733,19.160,14.573,18.026,19.521,-1.495
s0707,102.310,69.414,32.896,34.850,17.277,17.574,20.598,16.176,4.421
s0708,104.514,113.764,-9.251,8.353,8.059,0.294,42.684,7.611,35.073
s0709,265.265,283.216,-17.952,0.624,0.280,0.344,0.000,0.064,-0.064
s0712,7.030,20.368,-13.338,6.389,15.998,-9.609,2.315,15.674,-13.358
s0720,175.206,184.241,-9.035,39.947,17.982,21.965,28.269,18.053,10.216
s0723,289.403,262.069,27.334,41.597,16.116,25.481,35.616,17.645,17.972
s0724,2.845,2.973,-0.128,21.819,19.551,2.268,27.574,26.207,1.367
s0726,276.831,273.270,3.561,26.595,16.143,10.452,18.677,15.680,2.997
s0727,222.595,224.029,-1.434,31.722,13.429,18.293,13.773,14.755,-0.982
s0730,0.000,0.000,0.000,0.000,3.432,-3.432,0.000,3.567,-3.567
s0731,211.356,222.200,-10.844,33.267,19.943,13.325,20.317,19.923,0.395
s0733,294.006,291.003,3.004,16.160,23.865,-7.705,47.773,25.255,22.518
s0736,114.710,248.815,-134.106,0.186,0.000,0.186,0.000,0.000,0.000
s0739,172.324,178.571,-6.247,21.951,17.314,4.637,33.450,16.605,16.845
s0740,30.767,405.918,-375.152,0.000,15.525,-15.525,0.044,14.891,-14.847
s0751,513.611,497.806,15.805,43.446,25.957,17.489,24.158,26.754,-2.595
s0754,320.881,281.293,39.589,30.375,22.869,7.506,24.394,20.338,4.057
s0759,194.059,287.536,-93.477,0.162,0.000,0.162,0.138,0.000,0.138
s0760,89.853,62.333,27.520,39.015,13.466,25.549,38.070,11.418,26.652
s0762,175.861,162.645,13.216,41.239,28.239,13.001,35.616,24.435,11.181
s0763,243.341,260.550,-17.209,24.253,17.010,7.243,17.739,16.453,1.286
s0764,311.931,313.642,-1.711,36.929,21.411,15.518,23.611,21.215,2.396
s0765,132.702,136.998,-4.296,18.147,11.623,6.524,31.954,10.152,21.803
s0770,257.884,255.315,2.568,0.000,0.000,0.000,0.000,0.000,0.000
s0772,0.000,1.772,-1.772,1.924,34.000,-32.076,1.532,29.045,-27.513
s0774,14.094,4.020,10.074,36.673,11.131,25.542,35.033,12.079,22.953
s0775,232.922,245.359,-12.437,0.095,0.000,0.095,0.000,0.000,0.000
s0776,0.000,4.290,-4.290,0.000,16.467,-16.467,0.010,18.458,-18.448
s0777,278.157,298.451,-20.294,27.645,19.130,8.515,28.127,19.966,8.161
s0778,303.777,300.875,2.902,40.078,31.634,8.444,45.951,29.187,16.764
s0785,227.563,183.951,43.612,0.000,0.000,0.000,0.294,0.000,0.294
s0786,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
s0790,151.078,133.427,17.651,21.165,9.673,11.492,20.368,10.354,10.014
s0791,608.921,649.812,-40.891,0.000,0.000,0.000,0.000,0.000,0.000
s0794,276.190,279.895,-3.706,31.533,12.089,19.443,26.119,13.169,12.950
s0795,224.654,228.157,-3.503,0.000,0.000,0.000,0.000,0.000,0.000
s0796,264.998,251.633,13.365,27.861,16.362,11.499,15.086,15.900,-0.813
s0797,255.646,259.831,-4.185,25.825,16.703,9.123,26.386,17.128,9.258
s0798,129.063,160.964,-31.900,0.000,0.000,0.000,0.000,0.000,0.000
s0801,244.893,255.501,-10.608,22.245,14.860,7.384,25.208,17.887,7.320
s0802,163.674,180.002,-16.328,0.000,0.000,0.000,0.000,0.000,0.000
s0804,214.232,223.509,-9.278,31.023,17.972,13.051,21.286,19.383,1.903
s0806,231.299,190.806,40.493,34.654,19.521,15.133,29.511,21.354,8.157
s0807,337.132,322.906,14.226,19.697,13.321,6.375,20.355,14.020,6.335
s0808,348.614,394.072,-45.458,0.830,0.000,0.830,0.213,0.000,0.213
s0812,266.004,275.920,-9.916,22.788,13.689,9.099,26.750,14.982,11.769
s0815,89.974,15.603,74.371,16.622,25.704,-9.082,22.575,24.833,-2.258
s0816,242.889,283.190,-40.301,0.000,0.000,0.000,0.000,0.000,0.000
s0818,0.000,0.267,-0.267,1.978,12.572,-10.594,0.155,6.409,-6.254
s0819,0.000,1.731,-1.731,3.821,19.204,-15.383,0.402,21.377,-20.976
s0821,0.334,181.771,-181.437,0.202,0.000,0.202,0.699,0.000,0.699
s0824,221.174,251.748,-30.574,0.000,0.000,0.000,0.000,0.000,0.000
s0829,165.321,168.153,-2.832,0.192,0.000,0.192,0.000,0.000,0.000
s0830,341.958,359.306,-17.348,45.792,27.300,18.492,38.100,34.320,3.780
s0831,74.989,71.037,3.952,10.139,13.230,-3.091,13.108,14.425,-1.316
s0833,309.984,305.019,4.965,0.000,0.000,0.000,0.000,0.000,0.000
s0835,168.817,167.177,1.640,32.481,12.741,19.740,23.085,13.169,9.916
s0836,317.507,294.104,23.402,28.711,19.302,9.409,33.365,19.997,13.368
s0840,78.486,217.276,-138.790,0.000,0.000,0.000,0.000,0.000,0.000
s0842,277.263,279.423,-2.160,22.143,14.064,8.080,26.285,15.481,10.803
s0844,114.058,127.389,-13.331,0.020,0.000,0.020,0.000,0.000,0.000
s0858,293.375,319.619,-26.244,0.000,0.000,0.000,0.000,0.000,0.000
s0859,371.507,350.467,21.040,41.283,23.649,17.634,31.006,19.194,11.812
s0860,274.600,286.737,-12.136,23.831,15.167,8.664,15.039,16.656,-1.617
s0862,0.000,13.227,-13.227,0.415,26.497,-26.082,1.579,28.930,-27.351
s0863,275.380,271.924,3.456,34.236,15.977,18.259,13.885,15.079,-1.195
s0864,142.030,136.499,5.532,9.561,9.396,0.165,29.049,9.561,19.487
s0869,366.984,351.800,15.184,34.125,21.239,12.886,22.366,20.868,1.498
s0873,0.000,3.007,-3.007,0.027,13.537,-13.510,0.550,15.100,-14.550
s0878,267.165,263.459,3.706,15.549,10.935,4.614,13.402,11.489,1.914
s0880,267.020,303.291,-36.271,18.168,28.917,-10.749,14.597,24.975,-10.378
s0884,281.070,301.627,-20.557,24.354,17.152,7.202,23.092,18.293,4.799
s0885,327.520,307.635,19.886,46.106,28.515,17.590,26.177,28.853,-2.676
s0894,190.566,205.031,-14.465,32.606,19.727,12.879,22.963,18.559,4.404
s0895,41.506,37.287,4.219,28.411,16.315,12.096,9.015,15.704,-6.689
s0896,94.419,106.684,-12.265,17.877,8.751,9.126,15.336,8.954,6.382
s0899,289.123,282.356,6.767,32.447,18.434,14.013,34.388,19.474,14.914
s0903,255.305,263.652,-8.346,32.316,20.301,12.015,32.468,18.704,13.763
s0904,284.975,273.625,11.350,18.954,18.910,0.044,33.979,19.221,14.759
s0907,17.212,18.195,-0.982,16.656,29.764,-13.108,11.414,26.652,-15.238
s0910,129.360,163.941,-34.580,0.000,0.000,0.000,0.000,0.000,0.000
s0912,263.368,267.796,-4.428,29.184,21.111,8.073,31.313,21.421,9.892
s0913,162.513,164.420,-1.907,33.655,13.844,19.811,16.929,13.976,2.953
s0915,369.512,442.945,-73.433,35.208,23.976,11.232,19.882,20.031,-0.149
s0916,315.937,297.709,18.228,19.818,17.381,2.437,32.511,20.618,11.893
s0918,351.337,321.783,29.555,16.308,14.661,1.647,38.664,15.312,23.352
s0921,0.000,0.000,0.000,0.277,6.115,-5.839,0.111,8.016,-7.904
s0923,144.487,168.625,-24.138,22.582,15.160,7.422,18.114,13.379,4.735
s0924,218.886,217.090,1.796,16.521,17.378,-0.857,26.632,19.697,6.936
s0927,349.255,361.746,-12.491,18.343,13.402,4.941,21.138,16.534,4.604
s0928,274.573,278.289,-3.716,21.776,20.500,1.276,12.552,18.964,-6.412
s0930,158.311,159.178,-0.867,0.000,0.000,0.000,0.000,0.000,0.000
s0931,326.369,338.232,-11.863,20.085,22.322,-2.238,34.955,21.894,13.061
s0933,359.134,232.065,127.069,20.287,21.067,-0.780,32.005,20.311,11.694
s0937,108.162,100.497,7.665,50.017,24.948,25.069,33.767,21.408,12.359
s0939,331.594,320.497,11.097,12.582,17.010,-4.428,32.980,17.246,15.734
s0940,288.019,288.819,-0.800,25.407,19.362,6.045,24.813,17.267,7.546
s0944,11.151,6.338,4.813,1.475,22.039,-20.564,3.804,22.663,-18.860
s0945,192.665,189.969,2.697,42.431,9.109,33.321,23.497,9.946,13.551
s0947,0.000,0.830,-0.830,0.634,14.074,-13.439,0.013,14.428,-14.415
s0950,389.178,379.397,9.781,55.630,33.342,22.288,24.172,28.117,-3.945
s0951,6.760,8.556,-1.795,5.596,19.021,-13.426,5.309,18.353,-13.044
s0953,1.222,1.964,-0.743,0.000,0.000,0.000,0.000,0.000,0.000
s0957,192.962,196.324,-3.361,36.399,18.367,18.033,18.789,18.245,0.543
s0959,167.103,166.705,0.398,16.062,9.055,7.006,25.491,8.812,16.679
s0961,231.528,237.219,-5.690,19.457,14.037,5.420,29.585,16.058,13.527
s0963,21.556,129.104,-107.548,1.154,8.873,-7.719,2.086,7.256,-5.170
s0965,67.139,65.526,1.613,6.595,5.208,1.387,8.532,6.129,2.403
s0970,263.483,235.592,27.891,18.934,9.578,9.355,14.570,9.433,5.137
s0971,5.160,5.815,-0.655,29.342,24.037,5.305,28.951,23.051,5.899
s0976,216.709,226.483,-9.774,0.000,0.000,0.000,0.000,0.000,0.000
s0981,9.227,44.081,-34.854,22.626,33.203,-10.577,10.145,30.584,-20.439
s0982,367.504,361.884,5.619,29.325,28.941,0.385,47.071,32.721,14.351
s0983,232.180,240.266,-8.087,11.890,14.833,-2.943,26.497,14.701,11.796
s0985,198.200,191.079,7.121,10.685,11.320,-0.634,21.971,11.219,10.753
s0986,249.301,246.115,3.186,33.780,17.013,16.767,31.894,20.047,11.846
s0988,89.751,84.392,5.359,31.256,22.359,8.896,33.912,26.946,6.966
s0991,249.952,255.241,-5.289,26.052,15.390,10.662,20.601,15.805,4.796
s0992,169.084,168.747,0.338,21.023,12.960,8.063,41.776,13.240,28.536
s0994,279.248,285.069,-5.822,21.613,18.012,3.601,27.486,19.541,7.945
s1004,313.578,333.838,-20.260,0.402,0.000,0.402,0.000,0.000,0.000
s1005,0.000,7.661,-7.661,10.628,19.987,-9.359,0.601,27.108,-26.507
s1006,213.486,219.868,-6.382,23.811,11.856,11.954,25.282,11.796,13.487
s1008,263.075,264.570,-1.495,41.604,24.799,16.804,27.256,26.959,0.297
s1009,0.098,7.476,-7.378,1.063,28.158,-27.094,0.223,27.081,-26.858
s1012,164.781,171.035,-6.254,31.408,21.526,9.882,30.473,21.364,9.109
s1013,229.561,219.490,10.071,1.063,0.047,1.016,0.000,0.027,-0.027
s1016,471.541,450.330,21.212,32.980,24.324,8.657,27.773,19.592,8.181
s1024,160.113,173.306,-13.193,23.061,13.892,9.170,11.563,14.131,-2.568
s1025,162.874,172.115,-9.241,0.000,0.000,0.000,0.000,0.000,0.000
s1026,231.768,354.270,-122.502,0.000,0.000,0.000,0.000,0.000,0.000
s1029,336.707,315.475,21.232,50.149,24.395,25.755,29.153,29.180,-0.027
s1031,249.115,234.049,15.066,27.027,17.273,9.754,20.999,17.766,3.233
s1038,206.722,200.779,5.943,16.241,9.359,6.882,12.191,8.687,3.503
s1041,0.641,10.716,-10.074,16.149,17.030,-0.881,4.512,16.527,-12.015
s1044,299.595,417.167,-117.572,9.700,26.885,-17.185,1.225,23.267,-22.042
s1045,309.069,315.174,-6.105,27.138,16.966,10.172,21.073,18.789,2.285
s1046,316.048,308.310,7.739,17.513,24.098,-6.585,55.340,28.407,26.933
s1050,0.219,13.054,-12.835,5.400,14.351,-8.950,4.715,15.981,-11.266
s1057,0.000,2.764,-2.764,0.432,19.082,-18.650,0.054,14.796,-14.742
s1061,144.831,144.477,0.354,26.264,14.566,11.698,24.665,11.262,13.402
s1062,317.149,333.713,-16.565,23.169,24.418,-1.249,34.040,20.479,13.561
s1063,182.706,181.092,1.613,16.436,9.214,7.223,15.093,9.592,5.501
s1068,0.000,0.000,0.000,0.000,3.027,-3.027,0.000,3.574,-3.574
s1069,226.689,242.727,-16.038,7.638,13.564,-5.927,9.933,13.973,-4.040
s1070,154.278,158.834,-4.556,47.888,13.200,34.688,30.243,12.488,17.756
s1077,322.032,314.952,7.081,8.998,0.000,8.998,0.705,0.000,0.705
s1082,365.462,362.104,3.358,34.665,19.690,14.975,27.435,19.680,7.756
s1085,360.956,313.136,47.820,47.793,27.601,20.193,28.043,28.627,-0.584
s1086,255.582,260.007,-4.425,36.990,23.250,13.740,16.301,20.226,-3.925
s1088,323.760,308.006,15.755,19.653,13.962,5.690,41.897,24.300,17.597
s1089,281.451,284.975,-3.524,40.827,24.742,16.085,28.775,23.956,4.820
s1090,474.262,479.800,-5.538,57.031,34.982,22.049,35.559,32.684,2.875
s1094,194.042,201.886,-7.844,0.000,0.000,0.000,0.000,0.000,0.000
s1098,4.445,4.381,0.064,4.097,13.642,-9.544,2.038,12.558,-10.520
s1099,198.183,191.555,6.628,17.331,8.589,8.741,13.436,9.089,4.347
s1101,284.668,313.487,-28.819,0.007,0.000,0.007,0.000,0.000,0.000
s1103,96.987,83.774,13.213,38.779,26.541,12.238,35.708,27.095,8.613
s1104,0.000,0.000,0.000,19.173,5.933,13.240,15.285,6.736,8.549
s1111,169.064,272.332,-103.268,22.818,15.235,7.584,10.986,17.290,-6.304
s1119,262.534,282.663,-20.129,0.000,0.000,0.000,0.000,0.000,0.000
s1120,231.707,223.469,8.238,34.553,17.989,16.564,22.778,14.958,7.820
s1121,30.007,23.726,6.281,26.737,12.018,14.718,13.021,10.878,2.143
s1123,213.509,215.787,-2.278,15.208,11.114,4.094,14.438,11.735,2.703
s1124,292.180,352.961,-60.780,11.549,23.166,-11.617,9.251,22.285,-13.034
s1125,5.275,17.590,-12.315,14.570,28.276,-13.706,2.592,30.652,-28.060
s1127,347.706,333.274,14.432,37.176,15.910,21.266,34.196,18.350,15.846
s1128,0.000,4.279,-4.279,4.279,15.616,-11.337,0.344,13.453,-13.108
s1132,250.978,256.503,-5.525,0.007,0.000,0.007,0.304,0.000,0.304
s1135,239.750,239.426,0.324,32.761,22.734,10.027,34.196,22.440,11.755
s1136,0.000,7.449,-7.449,6.632,14.307,-7.675,1.515,13.362,-11.846
s1137,13.530,12.454,1.077,27.591,14.840,12.751,15.623,17.395,-1.772
s1141,16.200,26.224,-10.024,13.480,26.862,-13.382,12.967,31.904,-18.937
s1142,606.703,585.063,21.640,0.000,0.000,0.000,0.000,0.000,0.000
s1143,773.847,739.280,34.567,32.160,21.438,10.722,20.861,22.363,-1.502
s1145,174.369,171.005,3.365,27.759,10.354,17.405,20.209,8.194,12.015
s1146,168.112,182.979,-14.867,0.000,0.000,0.000,0.000,0.000,0.000
s1151,27.634,12.758,14.877,20.010,16.470,3.540,43.905,17.172,26.733
s1152,196.766,192.102,4.664,26.497,18.171,8.326,23.969,17.803,6.166
s1155,289.278,346.299,-57.021,0.047,0.000,0.047,0.047,0.000,0.047
s1159,171.926,163.920,8.005,5.694,7.732,-2.038,69.944,7.847,62.097
s1161,248.265,237.222,11.043,19.960,10.270,9.690,22.545,12.150,10.395
s1168,0.000,0.000,0.000,0.425,0.000,0.425,0.877,0.000,0.877
s1171,165.571,170.323,-4.752,5.947,5.083,0.864,6.757,4.917,1.839
s1174,214.886,223.800,-8.913,31.978,17.229,14.749,21.748,15.569,6.180
s1176,102.792,165.554,-62.762,0.000,0.000,0.000,0.000,0.000,0.000
s1178,2.467,105.891,-103.424,0.000,5.758,-5.758,0.024,5.960,-5.937
s1182,173.276,175.861,-2.585,0.000,0.000,0.000,0.000,0.000,0.000
s1189,141.159,144.636,-3.476,4.263,3.520,0.742,3.635,3.260,0.375
s1191,206.304,216.884,-10.581,0.000,0.000,0.000,0.000,0.000,0.000
s1197,306.426,303.372,3.054,0.000,0.000,0.000,0.000,0.000,0.000
s1206,301.020,271.613,29.406,2.683,8.836,-6.153,57.689,11.779,45.910
s1207,247.411,230.104,17.307,23.463,14.134,9.329,20.064,14.435,5.629
s1208,463.458,491.515,-28.056,35.164,19.102,16.062,17.010,15.940,1.070
s1209,375.303,371.530,3.773,34.000,21.978,12.022,31.097,23.696,7.401
s1210,269.622,327.483,-57.861,15.771,20.122,-4.350,10.125,19.831,-9.706
s1215,2.373,0.000,2.373,0.000,0.000,0.000,0.000,0.000,0.000
s1218,10.905,0.000,10.905,0.000,0.000,0.000,0.000,0.000,0.000
s1222,7.270,4.458,2.811,0.422,0.000,0.422,0.047,0.000,0.047
s1223,165.979,182.601,-16.622,23.001,13.865,9.136,27.614,15.056,12.558
s1224,349.640,355.644,-6.004,25.805,19.724,6.082,28.526,21.043,7.482
s1226,680.815,870.720,-189.904,0.000,0.000,0.000,0.013,0.000,0.013
s1228,291.651,301.705,-10.054,33.396,20.972,12.423,41.097,26.646,14.452
s1233,257.023,262.767,-5.744,22.528,14.364,8.164,14.158,12.191,1.968
s1234,3.102,3.686,-0.584,12.994,10.422,2.572,11.495,11.077,0.419
s1238,295.410,300.446,-5.036,37.975,17.537,20.439,23.335,17.574,5.761
s1242,76.626,73.828,2.798,0.000,0.000,0.000,0.000,0.000,0.000
s1247,108.948,119.840,-10.891,28.914,12.440,16.473,24.783,11.279,13.503
s1249,383.997,266.510,117.487,18.252,18.711,-0.459,28.546,18.451,10.095
s1251,14.772,24.901,-10.128,1.603,48.654,-47.051,2.200,45.407,-43.207
s1252,46.953,36.642,10.311,19.848,12.076,7.773,53.474,9.740,43.733
s1255,185.628,199.287,-13.659,0.000,0.000,0.000,0.000,0.000,0.000
s1256,15.387,14.786,0.601,21.654,14.904,6.750,21.148,15.387,5.761
s1261,187.684,204.120,-16.436,0.000,0.000,0.000,0.000,0.000,0.000
s1267,263.449,265.879,-2.430,47.429,30.598,16.831,49.103,27.857,21.246
s1268,168.443,181.332,-12.889,0.000,0.000,0.000,0.000,0.000,0.000
s1273,273.463,293.183,-19.720,29.011,18.947,10.064,15.552,18.849,-3.297
s1275,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
s1276,132.462,137.562,-5.100,25.188,14.627,10.560,12.332,11.512,0.820
s1283,210.232,232.767,-22.535,6.973,15.039,-8.066,6.743,13.827,-7.084
