case_id,pairwise_dice_mean,pairwise_dice_median,pairwise_dice_min,pairwise_dice_max,n_pairs,n_classes,ground_truth_dice,mahalanobis
subject061,0.906542,0.908226,0.887344,0.925787,45,23,0.757361,41.2532
subject062,0.865155,0.864212,0.842405,0.898013,45,23,0.699933,23.8670
subject063,0.898538,0.897116,0.873846,0.927151,45,23,0.753035,16.5710
subject064,0.898952,0.904020,0.863745,0.917488,45,23,0.744646,40.1616
subject065,0.892414,0.892533,0.879519,0.913186,45,23,0.744626,37.0743
subject066,0.906359,0.908529,0.882091,0.930950,45,23,0.768228,28.7184
subject067,0.891300,0.890003,0.861580,0.915108,45,23,0.736584,25.6655
subject068,0.907772,0.908935,0.880207,0.922631,45,23,0.775334,22.4744
subject069,0.898278,0.901887,0.862687,0.920560,45,23,0.734204,19.1015
subject070,0.916192,0.918110,0.890456,0.934750,45,23,0.780400,15.9112
subject071,0.907166,0.907789,0.881945,0.925902,45,23,0.802928,26.7908
subject072,0.881450,0.883233,0.852058,0.900430,45,23,0.717000,24.2939
subject073,0.884357,0.883633,0.867342,0.901372,45,23,0.768707,19.8062
subject074,0.908551,0.907819,0.893093,0.926594,45,23,0.816954,34.0276
subject075,0.885097,0.885392,0.854517,0.910225,45,23,0.708733,16.3175
subject076,0.885742,0.887537,0.849200,0.917165,45,23,0.799384,43.9983
subject077,0.911823,0.911480,0.894223,0.930581,45,23,0.790281,26.0123
subject078,0.860058,0.861725,0.821499,0.888759,45,23,0.747174,48.7914
subject079,0.909689,0.911828,0.892741,0.923856,45,23,0.781539,37.9756
subject080,0.870064,0.871335,0.850495,0.905083,45,23,0.726037,27.2015
